"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","DLY-TAVG-NORMAL","meas_flag_DLY-TAVG-NORMAL","comp_flag_DLY-TAVG-NORMAL","years_DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","meas_flag_DLY-TMAX-NORMAL","comp_flag_DLY-TMAX-NORMAL","years_DLY-TMAX-NORMAL","DLY-TMIN-NORMAL","meas_flag_DLY-TMIN-NORMAL","comp_flag_DLY-TMIN-NORMAL","years_DLY-TMIN-NORMAL","DLY-DUTR-NORMAL","meas_flag_DLY-DUTR-NORMAL","comp_flag_DLY-DUTR-NORMAL","years_DLY-DUTR-NORMAL","DLY-TAVG-STDDEV","meas_flag_DLY-TAVG-STDDEV","comp_flag_DLY-TAVG-STDDEV","years_DLY-TAVG-STDDEV","DLY-TMAX-STDDEV","meas_flag_DLY-TMAX-STDDEV","comp_flag_DLY-TMAX-STDDEV","years_DLY-TMAX-STDDEV","DLY-TMIN-STDDEV","meas_flag_DLY-TMIN-STDDEV","comp_flag_DLY-TMIN-STDDEV","years_DLY-TMIN-STDDEV","DLY-DUTR-STDDEV","meas_flag_DLY-DUTR-STDDEV","comp_flag_DLY-DUTR-STDDEV","years_DLY-DUTR-STDDEV","DLY-HTDD-NORMAL","meas_flag_DLY-HTDD-NORMAL","comp_flag_DLY-HTDD-NORMAL","years_DLY-HTDD-NORMAL","DLY-HTDD-BASE40","meas_flag_DLY-HTDD-BASE40","comp_flag_DLY-HTDD-BASE40","years_DLY-HTDD-BASE40","DLY-HTDD-BASE45","meas_flag_DLY-HTDD-BASE45","comp_flag_DLY-HTDD-BASE45","years_DLY-HTDD-BASE45","DLY-HTDD-BASE50","meas_flag_DLY-HTDD-BASE50","comp_flag_DLY-HTDD-BASE50","years_DLY-HTDD-BASE50","DLY-HTDD-BASE55","meas_flag_DLY-HTDD-BASE55","comp_flag_DLY-HTDD-BASE55","years_DLY-HTDD-BASE55","DLY-HTDD-BASE57","meas_flag_DLY-HTDD-BASE57","comp_flag_DLY-HTDD-BASE57","years_DLY-HTDD-BASE57","DLY-HTDD-BASE60","meas_flag_DLY-HTDD-BASE60","comp_flag_DLY-HTDD-BASE60","years_DLY-HTDD-BASE60","DLY-CLDD-NORMAL","meas_flag_DLY-CLDD-NORMAL","comp_flag_DLY-CLDD-NORMAL","years_DLY-CLDD-NORMAL","DLY-CLDD-BASE40","meas_flag_DLY-CLDD-BASE40","comp_flag_DLY-CLDD-BASE40","years_DLY-CLDD-BASE40","DLY-CLDD-BASE45","meas_flag_DLY-CLDD-BASE45","comp_flag_DLY-CLDD-BASE45","years_DLY-CLDD-BASE45","DLY-CLDD-BASE50","meas_flag_DLY-CLDD-BASE50","comp_flag_DLY-CLDD-BASE50","years_DLY-CLDD-BASE50","DLY-CLDD-BASE55","meas_flag_DLY-CLDD-BASE55","comp_flag_DLY-CLDD-BASE55","years_DLY-CLDD-BASE55","DLY-CLDD-BASE57","meas_flag_DLY-CLDD-BASE57","comp_flag_DLY-CLDD-BASE57","years_DLY-CLDD-BASE57","DLY-CLDD-BASE60","meas_flag_DLY-CLDD-BASE60","comp_flag_DLY-CLDD-BASE60","years_DLY-CLDD-BASE60","DLY-CLDD-BASE70","meas_flag_DLY-CLDD-BASE70","comp_flag_DLY-CLDD-BASE70","years_DLY-CLDD-BASE70","DLY-CLDD-BASE72","meas_flag_DLY-CLDD-BASE72","comp_flag_DLY-CLDD-BASE72","years_DLY-CLDD-BASE72","DLY-GRDD-BASE65","meas_flag_DLY-GRDD-BASE65","comp_flag_DLY-GRDD-BASE65","years_DLY-GRDD-BASE65","DLY-GRDD-BASE40","meas_flag_DLY-GRDD-BASE40","comp_flag_DLY-GRDD-BASE40","years_DLY-GRDD-BASE40","DLY-GRDD-BASE45","meas_flag_DLY-GRDD-BASE45","comp_flag_DLY-GRDD-BASE45","years_DLY-GRDD-BASE45","DLY-GRDD-BASE50","meas_flag_DLY-GRDD-BASE50","comp_flag_DLY-GRDD-BASE50","years_DLY-GRDD-BASE50","DLY-GRDD-BASE55","meas_flag_DLY-GRDD-BASE55","comp_flag_DLY-GRDD-BASE55","years_DLY-GRDD-BASE55","DLY-GRDD-BASE57","meas_flag_DLY-GRDD-BASE57","comp_flag_DLY-GRDD-BASE57","years_DLY-GRDD-BASE57","DLY-GRDD-BASE60","meas_flag_DLY-GRDD-BASE60","comp_flag_DLY-GRDD-BASE60","years_DLY-GRDD-BASE60","DLY-GRDD-BASE70","meas_flag_DLY-GRDD-BASE70","comp_flag_DLY-GRDD-BASE70","years_DLY-GRDD-BASE70","DLY-GRDD-BASE72","meas_flag_DLY-GRDD-BASE72","comp_flag_DLY-GRDD-BASE72","years_DLY-GRDD-BASE72","DLY-GRDD-TB4886","meas_flag_DLY-GRDD-TB4886","comp_flag_DLY-GRDD-TB4886","years_DLY-GRDD-TB4886","DLY-GRDD-TB5086","meas_flag_DLY-GRDD-TB5086","comp_flag_DLY-GRDD-TB5086","years_DLY-GRDD-TB5086","DLY-PRCP-PCTALL-GE001HI","meas_flag_DLY-PRCP-PCTALL-GE001HI","comp_flag_DLY-PRCP-PCTALL-GE001HI","years_DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","meas_flag_DLY-PRCP-PCTALL-GE010HI","comp_flag_DLY-PRCP-PCTALL-GE010HI","years_DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","meas_flag_DLY-PRCP-PCTALL-GE025HI","comp_flag_DLY-PRCP-PCTALL-GE025HI","years_DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","meas_flag_DLY-PRCP-PCTALL-GE050HI","comp_flag_DLY-PRCP-PCTALL-GE050HI","years_DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","meas_flag_DLY-PRCP-PCTALL-GE100HI","comp_flag_DLY-PRCP-PCTALL-GE100HI","years_DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","meas_flag_DLY-PRCP-PCTALL-GE200HI","comp_flag_DLY-PRCP-PCTALL-GE200HI","years_DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","meas_flag_DLY-PRCP-PCTALL-GE400HI","comp_flag_DLY-PRCP-PCTALL-GE400HI","years_DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","meas_flag_DLY-PRCP-PCTALL-GE600HI","comp_flag_DLY-PRCP-PCTALL-GE600HI","years_DLY-PRCP-PCTALL-GE600HI","DLY-PRCP-25PCTL","meas_flag_DLY-PRCP-25PCTL","comp_flag_DLY-PRCP-25PCTL","years_DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","meas_flag_DLY-PRCP-50PCTL","comp_flag_DLY-PRCP-50PCTL","years_DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","meas_flag_DLY-PRCP-75PCTL","comp_flag_DLY-PRCP-75PCTL","years_DLY-PRCP-75PCTL","MTD-PRCP-NORMAL","meas_flag_MTD-PRCP-NORMAL","comp_flag_MTD-PRCP-NORMAL","years_MTD-PRCP-NORMAL","YTD-PRCP-NORMAL","meas_flag_YTD-PRCP-NORMAL","comp_flag_YTD-PRCP-NORMAL","years_YTD-PRCP-NORMAL"
"USW00014762","01-01"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","01","99","    32.0"," ","R","14","    38.7"," ","R","14","    25.3"," ","R","15","    13.4"," ","R","14","    11.1"," ","R","14","    12.4"," ","R","14","    10.8"," ","R","15","     6.9"," ","R","14","    33.0"," ","R","14","     9.4"," ","R","14","    13.5"," ","R","14","    18.1"," ","R","14","    23.0"," ","R","14","    25.0"," ","R","14","    28.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.4"," ","S","15","    22.0"," ","S","15","    14.0"," ","S","15","     7.3"," ","S","15","     1.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.02"," ","S","15","    0.08"," ","S","15","    0.29"," ","S","15","    0.10"," ","S","15","    0.10"," ","S","15"
"USW00014762","01-02"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","02","99","    31.8"," ","R","14","    38.6"," ","R","14","    25.1"," ","R","15","    13.5"," ","R","14","    11.2"," ","R","14","    12.5"," ","R","14","    10.9"," ","R","15","     6.9"," ","R","14","    33.2"," ","R","14","     9.6"," ","R","14","    13.7"," ","R","14","    18.3"," ","R","14","    23.2"," ","R","14","    25.2"," ","R","14","    28.2"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.4"," ","S","15","    22.0"," ","S","15","    13.8"," ","S","15","     7.2"," ","S","15","     1.0"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.29"," ","S","15","    0.20"," ","S","15","    0.20"," ","S","15"
"USW00014762","01-03"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","03","99","    31.6"," ","R","14","    38.4"," ","R","14","    24.9"," ","R","15","    13.6"," ","R","14","    11.2"," ","R","14","    12.5"," ","R","14","    11.0"," ","R","15","     6.9"," ","R","14","    33.4"," ","R","14","     9.8"," ","R","14","    13.9"," ","R","14","    18.5"," ","R","14","    23.4"," ","R","14","    25.4"," ","R","14","    28.4"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.5"," ","S","15","    22.0"," ","S","15","    13.7"," ","S","15","     7.0"," ","S","15","     1.0"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.29"," ","S","15","    0.30"," ","S","15","    0.30"," ","S","15"
"USW00014762","01-04"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","04","99","    31.5"," ","R","14","    38.3"," ","R","14","    24.6"," ","R","15","    13.7"," ","R","14","    11.3"," ","R","14","    12.5"," ","R","14","    11.0"," ","R","15","     6.9"," ","R","14","    33.5"," ","R","14","    10.0"," ","R","14","    14.1"," ","R","14","    18.7"," ","R","14","    23.6"," ","R","14","    25.6"," ","R","14","    28.6"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.6"," ","R","14","    46.6"," ","S","15","    22.0"," ","S","15","    13.5"," ","S","15","     6.9"," ","S","15","     1.0"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.28"," ","S","15","    0.39"," ","S","15","    0.39"," ","S","15"
"USW00014762","01-05"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","05","99","    31.3"," ","R","14","    38.1"," ","R","14","    24.4"," ","R","15","    13.7"," ","R","14","    11.3"," ","R","14","    12.6"," ","R","14","    11.1"," ","R","15","     6.9"," ","R","14","    33.7"," ","R","14","    10.2"," ","R","14","    14.3"," ","R","14","    18.9"," ","R","14","    23.8"," ","R","14","    25.8"," ","R","14","    28.7"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.7"," ","S","15","    22.0"," ","S","15","    13.4"," ","S","15","     6.7"," ","S","15","     0.9"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.28"," ","S","15","    0.49"," ","S","15","    0.49"," ","S","15"
"USW00014762","01-06"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","06","99","    31.1"," ","R","14","    38.0"," ","R","14","    24.2"," ","R","15","    13.8"," ","R","14","    11.4"," ","R","14","    12.6"," ","R","14","    11.1"," ","R","15","     6.9"," ","R","14","    33.9"," ","R","14","    10.4"," ","R","14","    14.5"," ","R","14","    19.1"," ","R","14","    24.0"," ","R","14","    26.0"," ","R","14","    28.9"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.1"," ","S","15","    13.3"," ","S","15","     6.6"," ","S","15","     0.9"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.27"," ","S","15","    0.58"," ","S","15","    0.58"," ","S","15"
"USW00014762","01-07"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","07","99","    30.9"," ","R","14","    37.9"," ","R","14","    23.9"," ","R","15","    13.9"," ","R","14","    11.4"," ","R","14","    12.6"," ","R","14","    11.2"," ","R","15","     6.9"," ","R","14","    34.1"," ","R","14","    10.6"," ","R","14","    14.7"," ","R","14","    19.3"," ","R","14","    24.2"," ","R","14","    26.2"," ","R","14","    29.1"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.1"," ","S","15","    13.2"," ","S","15","     6.4"," ","S","15","     0.9"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.27"," ","S","15","    0.66"," ","S","15","    0.66"," ","S","15"
"USW00014762","01-08"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","08","99","    30.7"," ","R","14","    37.7"," ","R","14","    23.7"," ","R","15","    14.0"," ","R","14","    11.4"," ","R","14","    12.6"," ","R","14","    11.2"," ","R","15","     6.9"," ","R","14","    34.3"," ","R","14","    10.8"," ","R","14","    14.9"," ","R","14","    19.5"," ","R","14","    24.4"," ","R","14","    26.3"," ","R","14","    29.3"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.2"," ","S","15","    13.1"," ","S","15","     6.3"," ","S","15","     0.9"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.27"," ","S","15","    0.75"," ","S","15","    0.75"," ","S","15"
"USW00014762","01-09"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","09","99","    30.6"," ","R","14","    37.6"," ","R","14","    23.5"," ","R","15","    14.1"," ","R","14","    11.5"," ","R","14","    12.6"," ","R","14","    11.3"," ","R","15","     6.9"," ","R","14","    34.4"," ","R","14","    10.9"," ","R","14","    15.0"," ","R","14","    19.7"," ","R","14","    24.5"," ","R","14","    26.5"," ","R","14","    29.5"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.5"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.3"," ","S","15","    13.0"," ","S","15","     6.2"," ","S","15","     0.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.27"," ","S","15","    0.83"," ","S","15","    0.83"," ","S","15"
"USW00014762","01-10"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","10","99","    30.4"," ","R","14","    37.5"," ","R","14","    23.3"," ","R","15","    14.2"," ","R","14","    11.5"," ","R","14","    12.6"," ","R","14","    11.4"," ","R","15","     6.9"," ","R","14","    34.6"," ","R","14","    11.0"," ","R","14","    15.2"," ","R","14","    19.8"," ","R","14","    24.7"," ","R","14","    26.7"," ","R","14","    29.6"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.4"," ","S","15","    13.0"," ","S","15","     6.1"," ","S","15","     0.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.27"," ","S","15","    0.92"," ","S","15","    0.92"," ","S","15"
"USW00014762","01-11"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","11","99","    30.2"," ","R","14","    37.4"," ","R","14","    23.1"," ","R","15","    14.3"," ","R","14","    11.5"," ","R","14","    12.7"," ","R","14","    11.4"," ","R","15","     7.0"," ","R","14","    34.8"," ","R","14","    11.2"," ","R","14","    15.3"," ","R","14","    20.0"," ","R","14","    24.9"," ","R","14","    26.8"," ","R","14","    29.8"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.7"," ","R","14","    46.6"," ","S","15","    22.5"," ","S","15","    12.9"," ","S","15","     6.0"," ","S","15","     0.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.27"," ","S","15","    1.01"," ","S","15","    1.01"," ","S","15"
"USW00014762","01-12"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","12","99","    30.1"," ","R","14","    37.2"," ","R","14","    22.9"," ","R","15","    14.3"," ","R","14","    11.6"," ","R","14","    12.7"," ","R","14","    11.4"," ","R","15","     7.0"," ","R","14","    34.9"," ","R","14","    11.3"," ","R","14","    15.5"," ","R","14","    20.1"," ","R","14","    25.0"," ","R","14","    27.0"," ","R","14","    29.9"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.4"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.6"," ","R","14","    46.6"," ","S","15","    22.5"," ","S","15","    12.8"," ","S","15","     5.8"," ","S","15","     0.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.26"," ","S","15","    1.10"," ","S","15","    1.10"," ","S","15"
"USW00014762","01-13"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","13","99","    29.9"," ","R","14","    37.1"," ","R","14","    22.7"," ","R","15","    14.4"," ","R","14","    11.6"," ","R","14","    12.7"," ","R","14","    11.5"," ","R","15","     7.0"," ","R","14","    35.1"," ","R","14","    11.4"," ","R","14","    15.6"," ","R","14","    20.3"," ","R","14","    25.2"," ","R","14","    27.1"," ","R","14","    30.1"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.6"," ","R","14","    46.6"," ","S","15","    22.5"," ","S","15","    12.8"," ","S","15","     5.7"," ","S","15","     0.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.26"," ","S","15","    1.19"," ","S","15","    1.19"," ","S","15"
"USW00014762","01-14"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","14","99","    29.8"," ","R","14","    37.0"," ","R","14","    22.5"," ","R","15","    14.5"," ","R","14","    11.6"," ","R","14","    12.7"," ","R","14","    11.5"," ","R","15","     7.0"," ","R","14","    35.2"," ","R","14","    11.5"," ","R","14","    15.8"," ","R","14","    20.4"," ","R","14","    25.3"," ","R","14","    27.3"," ","R","14","    30.2"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.6"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.9"," ","R","14","     0.6"," ","R","14","    46.5"," ","S","15","    22.4"," ","S","15","    12.7"," ","S","15","     5.6"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.26"," ","S","15","    1.28"," ","S","15","    1.28"," ","S","15"
"USW00014762","01-15"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","15","99","    29.6"," ","R","14","    36.9"," ","R","14","    22.4"," ","R","15","    14.6"," ","R","14","    11.6"," ","R","14","    12.7"," ","R","14","    11.5"," ","R","15","     7.0"," ","R","14","    35.3"," ","R","14","    11.6"," ","R","14","    15.9"," ","R","14","    20.6"," ","R","14","    25.4"," ","R","14","    27.4"," ","R","14","    30.3"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.3"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.8"," ","R","14","     0.6"," ","R","14","    46.4"," ","S","15","    22.4"," ","S","15","    12.6"," ","S","15","     5.5"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.26"," ","S","15","    1.36"," ","S","15","    1.36"," ","S","15"
"USW00014762","01-16"," 40.3547"," -79.9217"," 380.4","PITTSBURGH ALLEGHENY CO AP, PA US","01","16","99","    29.5"," ","R","14","    36.8"," ","R","14","    22.2"," ","R","15","    14.6"," ","R","14","    11.6"," ","R","14","    12.6"," ","R","14","    11.5"," ","R","15","     7.0"," ","R","14","    35.5"," ","R","14","    11.7"," ","R","14","    16.0"," ","R","14","    20.7"," ","R","14","    25.5"," ","R","14","    27.5"," ","R","14","    30.5"," ","R","14","     0.0"," ","R","14","     1.2"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     1.2"," ","R","14","     0.5"," ","R","14","     0.2"," ","R","14","     0.1"," ","R","14","     0.0","X","R","14","     0.0","X","R","14","     0.0"," ","R","14","     0.0"," ","R","14","     0.8"," ","R","14","     0.6"," ","R","14","    46.5"," ","S","15","    22.4"," ","S","15","    12.6"," ","S","15","     5.4"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.09"," ","S","15","    0.26"," ","S","15","    1.45"," ","S","15","    1.45"," ","S","15"
